279	162	40
284	214	40
296	251	40
347	274	40
280	146	50
282	203	50
295	247	50
332	266	50
375	283	50
280	127	60
281	182	60
287	228	60
317	256	60
372	283	60
283	125	70
282	190	70
290	234	70
332	262	70
391	286	70
287	108	80
283	168	80
287	213	80
310	242	80
349	268	80
406	288	80
287	110	90
282	174	90
288	216	90
317	241	90
354	268	90
411	288	90
289	112	100
286	174	100
293	212	100
322	234	100
357	257	100
414	292	100
310	134	110
314	193	110
336	231	110
372	264	110
427	288	110
320	141	120
341	196	120
366	234	120
423	281	120
327	159	130
352	204	130
379	243	130
427	286	130
330	166	140
366	216	140
393	257	140
446	287	140
343	171	150
376	214	150
408	251	150
451	283	150
370	193	160
419	242	160
462	276	160
228	158	40
226	217	40
208	254	40
158	276	40
231	147	50
228	200	50
213	241	50
180	265	50
133	283	50
228	120	60
229	186	60
219	231	60
187	262	60
129	288	60
226	119	70
224	192	70
214	234	70
175	261	70
117	290	70
223	106	80
226	171	80
220	216	80
192	248	80
155	272	80
103	292	80
221	108	90
223	175	90
216	220	90
184	247	90
148	274	90
90	294	90
219	115	100
217	178	100
207	222	100
174	249	100
137	273	100
82	294	100
199	124	110
195	189	110
163	234	110
127	271	110
70	291	110
192	138	120
176	199	120
145	238	120
78	283	120
180	149	130
156	196	130
132	233	130
74	280	130
170	169	140
140	212	140
111	256	140
62	286	140
167	180	150
130	207	150
100	240	150
56	283	150
133	199	160
91	238	160
46	268	160
336	330	40
289	325	40
343	330	50
294	326	50
356	333	60
303	327	60
373	333	70
303	323	70
382	335	80
306	327	80
402	337	90
347	331	90
292	333	90
405	339	100
351	331	100
294	326	100
407	338	110
353	333	110
300	333	110
279	290	110
405	339	120
346	330	120
289	321	120
302	272	120
405	338	130
350	335	130
294	330	130
290	278	130
406	336	140
343	331	140
287	325	140
288	277	140
407	335	150
355	327	150
305	331	150
271	303	150
403	333	160
347	316	160
304	315	160
262	300	160
170	336	40
223	330	40
165	337	50
222	328	50
158	335	60
218	326	60
135	337	70
209	323	70
142	333	80
215	323	80
115	338	90
171	330	90
220	325	90
112	337	100
171	328	100
220	325	100
100	340	110
157	335	110
208	328	110
225	288	110
101	339	120
163	329	120
215	322	120
219	271	120
97	340	130
159	322	130
211	323	130
221	280	130
105	336	140
166	325	140
217	330	140
213	277	140
106	335	150
156	318	150
200	312	150
240	301	150
97	339	160
143	319	160
185	309	160
241	301	160
284	30	90
323	33	90
287	27	100
332	31	100
298	32	110
340	32	110
304	25	120
342	29	120
220	31	90
185	31	90
222	29	100
180	32	100
214	30	110
173	32	110
207	27	120
167	29	120
283	93	130
277	157	130
272	209	130
284	80	140
275	143	140
271	211	140
287	84	150
280	134	150
275	188	150
294	58	160
288	112	160
284	155	160
270	203	160
225	85	130
231	157	130
231	217	130
221	81	140
230	144	140
233	210	140
220	82	150
226	130	150
232	184	150
210	58	160
218	105	160
223	142	160
230	184	160
